date,open,high,low,adj_close,volume,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns,returns_prc
1980-12-12,0.128348,0.128906,0.128348,0.099874,469033600,1980,12,12,4,0,0,-0.028473999999999985,-28.509922502352946
1980-12-15,0.12221,0.12221,0.121652,0.094663,175884800,1980,12,15,4,0,0,-0.027547000000000002,-29.10007077738927
1980-12-16,0.113281,0.113281,0.112723,0.087715,105728000,1980,12,16,4,0,0,-0.025566000000000005,-29.146668186741152
1980-12-17,0.115513,0.116071,0.115513,0.089886,86441600,1980,12,17,4,0,0,-0.02562700000000001,-28.510557817680187
1980-12-18,0.118862,0.11942,0.118862,0.092492,73449600,1980,12,18,4,0,0,-0.02636999999999999,-28.510573887471335
1980-12-19,0.126116,0.126674,0.126116,0.098137,48630400,1980,12,19,4,0,0,-0.027979000000000004,-28.510143982391966
1980-12-22,0.132254,0.132813,0.132254,0.102913,37363200,1980,12,22,4,0,0,-0.029341000000000006,-28.51048944253885
1980-12-23,0.137835,0.138393,0.137835,0.107256,46950400,1980,12,23,4,0,0,-0.03057900000000001,-28.510293130454244
1980-12-24,0.145089,0.145647,0.145089,0.112901,48003200,1980,12,24,4,0,0,-0.032187999999999994,-28.509933481545772
1980-12-26,0.158482,0.15904,0.158482,0.123323,55574400,1980,12,26,4,0,0,-0.03515900000000001,-28.5096859466604
1980-12-29,0.160714,0.161272,0.160714,0.125059,93161600,1980,12,29,4,0,0,-0.03565499999999999,-28.510543023692808
1980-12-30,0.157366,0.157366,0.156808,0.12202,68880000,1980,12,30,4,0,0,-0.035346,-28.96738239632847
1980-12-31,0.152902,0.152902,0.152344,0.118546,35750400,1980,12,31,4,0,1,-0.03435600000000001,-28.981154994685614
1981-01-02,0.154018,0.155134,0.154018,0.119849,21660800,1981,1,2,1,0,0,-0.03416899999999999,-28.5100418026016
1981-01-05,0.151228,0.151228,0.15067,0.117244,35728000,1981,1,5,1,0,0,-0.033984,-28.98570502541708
1981-01-06,0.144531,0.144531,0.143973,0.112032,45158400,1981,1,6,1,0,0,-0.032498999999999986,-29.00867609254497
1981-01-07,0.138393,0.138393,0.137835,0.107256,55686400,1981,1,7,1,0,0,-0.031136999999999984,-29.030543745804415
1981-01-08,0.135603,0.135603,0.135045,0.105085,39827200,1981,1,8,1,0,0,-0.030518000000000003,-29.041252319550843
1981-01-09,0.142299,0.142857,0.142299,0.11073,21504000,1981,1,9,1,0,0,-0.031569000000000014,-28.509888918992154
1981-01-12,0.142299,0.142299,0.141183,0.109861,23699200,1981,1,12,1,0,0,-0.03243800000000001,-29.526401543768955
1981-01-13,0.136719,0.136719,0.136161,0.105954,23049600,1981,1,13,1,0,0,-0.030765,-29.036185514468542
1981-01-14,0.136719,0.137277,0.136719,0.106388,14291200,1981,1,14,1,0,0,-0.03033100000000001,-28.509794337707273
1981-01-15,0.139509,0.140625,0.139509,0.108559,14067200,1981,1,15,1,0,0,-0.03094999999999999,-28.509842574084132
1981-01-16,0.138951,0.138951,0.138393,0.10769,13395200,1981,1,16,1,0,0,-0.031261,-29.02869347200297
1981-01-19,0.146763,0.147321,0.146763,0.114203,41574400,1981,1,19,1,0,0,-0.032560000000000006,-28.510634571771327
1981-01-20,0.142857,0.142857,0.142299,0.11073,30083200,1981,1,20,1,0,0,-0.03212700000000002,-29.01381739366027
1981-01-21,0.145089,0.146205,0.145089,0.112901,15904000,1981,1,21,1,0,0,-0.032187999999999994,-28.509933481545772
1981-01-22,0.146763,0.147879,0.146763,0.114203,35548800,1981,1,22,1,0,0,-0.032560000000000006,-28.510634571771327
1981-01-23,0.146763,0.147321,0.146205,0.113769,11222400,1981,1,23,1,0,0,-0.03299400000000001,-29.00087018432087
1981-01-26,0.144531,0.144531,0.143973,0.112032,24640000,1981,1,26,1,0,0,-0.032498999999999986,-29.00867609254497
1981-01-27,0.143973,0.143973,0.142857,0.111164,23699200,1981,1,27,1,0,0,-0.03280899999999999,-29.514051311575685
1981-01-28,0.138951,0.138951,0.138393,0.10769,28156800,1981,1,28,1,0,0,-0.031261,-29.02869347200297
1981-01-29,0.133929,0.133929,0.133371,0.103782,43904000,1981,1,29,1,0,0,-0.030146999999999993,-29.0483898942013
1981-01-30,0.127232,0.127232,0.126116,0.098137,46188800,1981,1,30,1,0,0,-0.02909500000000001,-29.647329753304064
1981-02-02,0.11942,0.11942,0.118862,0.092492,23766400,1981,2,2,1,0,0,-0.026927999999999994,-29.113869307615786
1981-02-03,0.123326,0.123884,0.123326,0.095966,19152000,1981,2,3,1,0,0,-0.02736000000000001,-28.510097326136354
1981-02-04,0.12779,0.128348,0.12779,0.09944,27865600,1981,2,4,1,0,0,-0.028349999999999986,-28.509654062751395
1981-02-05,0.12779,0.128906,0.12779,0.09944,7929600,1981,2,5,1,0,0,-0.028349999999999986,-28.509654062751395
1981-02-06,0.128348,0.128906,0.128348,0.099874,13865600,1981,2,6,1,0,0,-0.028473999999999985,-28.509922502352946
1981-02-09,0.122768,0.122768,0.121652,0.094663,16755200,1981,2,9,1,0,0,-0.028105000000000005,-29.689530228283495
1981-02-10,0.121652,0.12221,0.121652,0.094663,18345600,1981,2,10,1,0,0,-0.026989,-28.510611326495038
1981-02-11,0.118304,0.118304,0.117746,0.091624,13843200,1981,2,11,1,0,0,-0.02668000000000001,-29.119008120143203
1981-02-12,0.117188,0.117188,0.116629,0.090755,14560000,1981,2,12,1,0,0,-0.026432999999999998,-29.125668007272328
1981-02-13,0.114955,0.114955,0.113839,0.088584,11155200,1981,2,13,1,0,0,-0.026371000000000006,-29.76948433125622
1981-02-17,0.116629,0.117188,0.116629,0.090755,12275200,1981,2,17,1,0,0,-0.025873999999999994,-28.509723982149737
1981-02-18,0.121652,0.122768,0.121652,0.094663,19241600,1981,2,18,1,0,0,-0.026989,-28.510611326495038
1981-02-19,0.114955,0.114955,0.114397,0.089018,22310400,1981,2,19,1,0,0,-0.025937,-29.136803792491406
1981-02-20,0.108817,0.108817,0.108259,0.084242,24371200,1981,2,20,1,0,0,-0.024575,-29.171909498824817
1981-02-23,0.109933,0.110491,0.109933,0.085544,14112000,1981,2,23,1,0,0,-0.024389000000000008,-28.510474141962046
1981-02-24,0.107143,0.107143,0.106027,0.082505,16979200,1981,2,24,1,0,0,-0.024638000000000007,-29.862432579843656
1981-02-25,0.112723,0.113281,0.112723,0.087715,19488000,1981,2,25,1,0,0,-0.025008000000000002,-28.510517015333754
1981-02-26,0.114397,0.114955,0.114397,0.089018,10841600,1981,2,26,1,0,0,-0.025379,-28.509964276887818
1981-02-27,0.118304,0.11942,0.118304,0.092058,14761600,1981,2,27,1,0,0,-0.026246000000000005,-28.510286992982692
1981-03-02,0.118862,0.11942,0.118862,0.092492,11760000,1981,3,2,1,0,0,-0.02636999999999999,-28.510573887471335
1981-03-03,0.117746,0.117746,0.117188,0.09119,16172800,1981,3,3,1,0,0,-0.02655600000000001,-29.121614212084673
1981-03-04,0.116629,0.116629,0.116071,0.09032,13708800,1981,3,4,1,0,0,-0.026309,-29.12865367581931
1981-03-05,0.116071,0.116071,0.115513,0.089886,5376000,1981,3,5,1,0,0,-0.026185,-29.131344147030685
1981-03-06,0.115513,0.115513,0.114397,0.089018,11603200,1981,3,6,1,0,0,-0.026495000000000005,-29.763643308094995
1981-03-09,0.106027,0.106027,0.105469,0.082071,15321600,1981,3,9,1,0,0,-0.02395599999999999,-29.189360431821214
1981-03-10,0.101004,0.101004,0.100446,0.078162,28380800,1981,3,10,1,0,0,-0.022842,-29.223919551700316
1981-03-11,0.097656,0.097656,0.09654,0.075122,29859200,1981,3,11,1,0,0,-0.022534000000000012,-29.996538963286408
1981-03-12,0.100446,0.101004,0.100446,0.078162,59248000,1981,3,12,1,0,0,-0.022283999999999998,-28.510017655638286
1981-03-13,0.099888,0.099888,0.09933,0.077294,231302400,1981,3,13,1,0,0,-0.022594000000000003,-29.231246927316484
1981-03-16,0.103237,0.104353,0.103237,0.080334,37228800,1981,3,16,1,0,0,-0.022902999999999993,-28.509721911021472
1981-03-17,0.108259,0.109375,0.108259,0.084242,43747200,1981,3,17,1,0,0,-0.024016999999999997,-28.509532062391678
1981-03-18,0.114955,0.116071,0.114955,0.089452,36937600,1981,3,18,1,0,0,-0.025502999999999998,-28.51026248714394
1981-03-19,0.114397,0.114397,0.113839,0.088584,37811200,1981,3,19,1,0,0,-0.025813000000000003,-29.139573737921076
1981-03-20,0.114955,0.116071,0.114955,0.089452,14604800,1981,3,20,1,0,0,-0.025502999999999998,-28.51026248714394
1981-03-23,0.11942,0.120536,0.11942,0.092927,22019200,1981,3,23,1,0,0,-0.026493000000000003,-28.509475179441935
1981-03-24,0.11942,0.11942,0.118862,0.092492,28156800,1981,3,24,1,0,0,-0.026927999999999994,-29.113869307615786
1981-03-25,0.117746,0.117746,0.116629,0.090755,7056000,1981,3,25,1,0,0,-0.026991,-29.740510164729216
1981-03-26,0.114955,0.114955,0.114397,0.089018,12275200,1981,3,26,1,0,0,-0.025937,-29.136803792491406
1981-03-27,0.111049,0.111049,0.110491,0.085978,12252800,1981,3,27,1,0,0,-0.025070999999999996,-29.159785061294745
1981-03-30,0.110491,0.111607,0.110491,0.085978,9900800,1981,3,30,1,0,0,-0.024513000000000007,-28.510781827909476
1981-03-31,0.110491,0.110491,0.109375,0.08511,15993600,1981,3,31,1,0,1,-0.025381,-29.82140759017742
1981-04-01,0.108817,0.108817,0.108259,0.084242,34070400,1981,4,1,2,1,0,-0.024575,-29.171909498824817
1981-04-02,0.117746,0.118304,0.117746,0.091624,31404800,1981,4,2,2,0,0,-0.026122000000000006,-28.50999738059898
1981-04-03,0.118304,0.118862,0.118304,0.092058,16486400,1981,4,3,2,0,0,-0.026246000000000005,-28.510286992982692
1981-04-06,0.116629,0.116629,0.116071,0.09032,22803200,1981,4,6,2,0,0,-0.026309,-29.12865367581931
1981-04-07,0.115513,0.115513,0.114955,0.089452,10684800,1981,4,7,2,0,0,-0.026061,-29.13406072530519
1981-04-08,0.120536,0.121652,0.120536,0.093795,21952000,1981,4,8,2,0,0,-0.026741,-28.51004851004851
1981-04-09,0.122768,0.123326,0.122768,0.095532,12499200,1981,4,9,2,0,0,-0.027235999999999996,-28.509818699493355
1981-04-10,0.124442,0.125,0.124442,0.096834,33465600,1981,4,10,2,0,0,-0.027607999999999994,-28.510647086767037
1981-04-13,0.124442,0.125,0.124442,0.096834,16060800,1981,4,13,2,0,0,-0.027607999999999994,-28.510647086767037
1981-04-14,0.124442,0.125,0.124442,0.096834,6652800,1981,4,14,2,0,0,-0.027607999999999994,-28.510647086767037
1981-04-15,0.118862,0.118862,0.118304,0.092058,34048000,1981,4,15,2,0,0,-0.026803999999999994,-29.11642660062134
1981-04-16,0.112165,0.112165,0.111607,0.086847,23878400,1981,4,16,2,0,0,-0.025318000000000007,-29.152417469803225
1981-04-20,0.114955,0.115513,0.114955,0.089452,35347200,1981,4,20,2,0,0,-0.025502999999999998,-28.51026248714394
1981-04-21,0.122768,0.123326,0.122768,0.095532,28537600,1981,4,21,2,0,0,-0.027235999999999996,-28.509818699493355
1981-04-22,0.127232,0.12779,0.127232,0.099005,18995200,1981,4,22,2,0,0,-0.028227000000000016,-28.510681278723315
1981-04-23,0.13058,0.131138,0.13058,0.101611,58016000,1981,4,23,2,0,0,-0.028968999999999995,-28.509708594541923
1981-04-24,0.13058,0.13058,0.129464,0.100742,35056000,1981,4,24,2,0,0,-0.029838000000000003,-29.618232713267556
1981-04-27,0.128906,0.128906,0.128348,0.099874,38528000,1981,4,27,2,0,0,-0.02903199999999999,-29.068626469351372
1981-04-28,0.126674,0.126674,0.126116,0.098137,32188800,1981,4,28,2,0,0,-0.028537000000000007,-29.078736867848015
1981-04-29,0.125,0.125,0.124442,0.096834,13641600,1981,4,29,2,0,0,-0.028165999999999997,-29.086890968048408
1981-04-30,0.126674,0.12779,0.126674,0.098571,12611200,1981,4,30,2,0,1,-0.028103000000000003,-28.51041381339339
1981-05-01,0.126674,0.12779,0.126674,0.098571,16553600,1981,5,1,2,1,0,-0.028103000000000003,-28.51041381339339
1981-05-04,0.126674,0.126674,0.126116,0.098137,14448000,1981,5,4,2,0,0,-0.028537000000000007,-29.078736867848015
1981-05-05,0.126116,0.126116,0.125558,0.097703,17539200,1981,5,5,2,0,0,-0.028413000000000008,-29.080990348300467
1981-05-06,0.122768,0.122768,0.12221,0.095098,18950400,1981,5,6,2,0,0,-0.02767,-29.096300658268316
1981-05-07,0.123884,0.124442,0.123884,0.0964,9363200,1981,5,7,2,0,0,-0.027483999999999995,-28.510373443983394
1981-05-08,0.125,0.125558,0.125,0.097269,7907200,1981,5,8,2,0,0,-0.027731000000000006,-28.509597096711193
1981-05-11,0.122768,0.122768,0.12221,0.095098,11939200,1981,5,11,2,0,0,-0.02767,-29.096300658268316
1981-05-12,0.12221,0.123884,0.12221,0.095098,4256000,1981,5,12,2,0,0,-0.027111999999999997,-28.509537529706197
1981-05-13,0.12221,0.123326,0.121652,0.094663,4905600,1981,5,13,2,0,0,-0.027547000000000002,-29.10007077738927
1981-05-14,0.121094,0.121094,0.119978,0.093361,4928000,1981,5,14,2,0,0,-0.027732999999999994,-29.705123124216744
