date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,lag_4_high_low_diff,lag_4_open_close_diff,lag_4_volume,lag_4_adj_close,lag_5_high_low_diff,lag_5_open_close_diff,lag_5_volume,lag_5_adj_close,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2017-07-27,2017,7,27,3,0,0,0.0,5,15.0,10.05,1093.0,34.95,2.1,0.0,760.0,45.0,1.35,0.0,0.0,0.0,93.0,0.0,44.4,0.0,0.0,1049.999,-150.007,7874.995,0.0,150.002,449.996,-3150.002,0.0,100000.0,274000.0,380000.0,0.0,-150.002,0.0,-750.0
2017-07-28,2017,7,28,3,0,0,-0.678,6,9.225,-3.15,473.0,43.65,15.0,10.05,1093.0,34.95,1.088,0.371,0.15,0.212,190.0,137.179,44.325,0.106,-0.707,0.707,3.536,0.303,0.707,-0.707,0.0,1.414,0.707,-0.707,0.022,1.29,-0.707,0.707,-0.707,0.707
2017-07-31,2017,7,31,3,0,1,-16.39,7,1.2,0.45,367.0,44.4,9.225,-3.15,473.0,43.65,3.695,4.524,2.17,3.502,322.333,248.888,42.18,3.716,1.153,-0.634,-0.518,-0.286,1.154,-0.534,-0.62,-0.577,1.063,-0.142,-0.921,-0.52,-1.154,0.557,0.597,0.557
2017-08-01,2017,8,1,3,1,0,-0.402,8,2.4,0.15,193.0,44.25,1.2,0.45,367.0,44.4,3.334,3.764,1.665,3.032,275.0,224.184,40.972,3.878,-0.288,1.482,-0.667,-0.527,-0.5,1.499,-0.45,-0.549,-0.633,1.392,0.054,-0.812,-0.934,-0.795,0.845,0.884
2017-08-02,2017,8,2,3,0,0,-10.667,9,1.35,0.0,93.0,44.4,2.4,0.15,193.0,44.25,3.867,3.471,2.052,2.765,249.4,202.412,39.528,4.66,0.615,-0.466,1.453,-0.876,0.56,-0.688,1.504,-0.634,-0.506,-0.575,1.668,0.186,-1.24,-0.467,-0.352,1.013
2017-08-03,2017,8,3,3,0,0,0.0,10,0.825,0.3,287.0,44.25,1.35,0.0,93.0,44.4,3.747,3.588,2.052,2.765,324.2,199.247,37.548,4.147,-0.835,0.628,-0.417,1.439,-0.742,0.56,-0.688,1.504,0.717,-0.889,-0.96,1.319,-0.735,-0.916,-0.048,0.082
2017-08-04,2017,8,4,3,0,0,3.6,11,8.91,6.21,587.0,37.89,0.825,0.3,287.0,44.25,3.852,3.487,1.722,3.104,270.8,242.741,36.198,1.921,-0.717,-0.89,0.616,-0.459,-0.99,-0.555,0.605,-0.506,-1.033,0.808,-0.51,-0.568,0.678,-0.884,-1.274,0.6
2017-08-07,2017,8,7,3,0,0,-10.465,12,2.25,0.15,133.0,37.35,8.91,6.21,587.0,37.89,3.81,3.412,1.29,2.392,168.0,174.64,36.36,2.123,1.433,-0.721,-0.897,0.642,1.154,-1.104,-0.539,0.966,-0.544,-0.847,1.712,-0.12,1.102,0.537,-0.876,-1.229
2017-08-08,2017,8,8,3,0,0,2.527,13,6.0,3.6,147.0,33.75,2.25,0.15,133.0,37.35,3.57,3.587,1.05,2.587,173.4,173.702,37.2,3.18,-0.703,1.43,-0.619,-0.786,-0.812,1.16,-0.928,-0.406,-0.077,-0.578,-0.883,1.69,1.368,0.472,0.094,-0.849
2017-08-09,2017,8,9,3,0,0,-4.924,14,0.75,0.0,467.0,34.5,6.0,3.6,147.0,33.75,4.08,4.155,0.72,2.266,230.6,206.776,38.37,2.62,1.076,-0.729,1.112,-0.657,0.543,-0.781,1.47,-0.914,0.979,-0.341,-0.762,-1.018,0.469,1.214,0.126,-0.332
