date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2010-07-02,2010,7,2,3,0,0,-19.792,3,0.293,0.0,0.253,0.0,77097000.0,0.0,1.28,0.0,0.0,84.0,182.0,204.667,0.0,-50.666,-122.667,-579.333,0.0,46185000000.0,180709500000.0,204397500000.0,0.0,184.0,308.667,312.667
2010-07-06,2010,7,6,3,0,0,-24.146,4,0.285,0.01,0.256,0.004,90050250.0,18318661.827,1.177,0.146,-0.707,0.707,8.807,18.256,0.707,-0.707,-12.649,-29.62,0.707,-0.707,1.814,9.158,-0.707,0.707,1.97,2.826
2010-07-07,2010,7,7,3,0,0,-3.797,5,0.227,0.101,0.184,0.125,94642000.0,15199973.347,1.136,0.125,-1.152,0.504,0.648,1.476,-1.154,0.601,0.553,0.148,0.604,0.55,-1.154,1.884,-0.658,-0.493,1.151,2.619
2010-07-08,2010,7,8,3,0,0,7.56,6,0.173,0.092,0.07,0.176,107500000.0,7088219.223,1.097,0.059,-0.465,-0.683,1.148,1.308,-0.902,-0.173,1.075,1.041,1.153,-0.518,-0.634,-4.289,1.137,-0.744,-0.393,3.108
2010-07-09,2010,7,9,3,0,0,-1.034,7,0.11,0.02,-0.012,0.067,93418500.0,28897425.019,1.126,0.063,-1.0,1.0,0.0,8.4,0.357,-1.129,0.773,4.032,-1.13,0.77,0.36,0.332,0.545,0.609,-1.154,-0.825
2010-07-12,2010,7,12,3,0,0,-5.279,8,0.097,0.03,-0.005,0.076,69822500.0,42055726.183,1.154,0.015,-0.86,-0.237,1.097,0.43,0.865,0.23,-1.095,0.6,-0.875,-0.216,1.09,0.809,-1.144,0.437,0.708,-6.789
2010-07-13,2010,7,13,3,0,0,4.135,9,0.092,0.022,0.007,0.055,44666000.0,14389899.609,1.169,0.037,1.05,-0.941,-0.109,1.674,-1.04,0.955,0.085,-1.729,-0.31,-0.808,1.118,4.934,1.096,-0.863,-0.234,-0.126
2010-07-14,2010,7,14,3,0,0,9.577,10,0.116,0.044,-0.039,0.094,45389000.0,15605867.959,1.223,0.094,0.995,0.01,-1.005,-0.581,-0.936,-0.118,1.054,0.542,1.124,-0.332,-0.791,0.985,1.064,-0.145,-0.92,-0.671
2010-07-15,2010,7,15,3,0,0,-0.251,11,0.147,0.027,-0.058,0.065,53075500.0,11660640.945,1.286,0.066,0.706,0.438,-1.144,-2.776,0.935,-1.054,0.119,1.802,0.259,0.845,-1.104,-1.718,0.602,0.552,-1.154,-2.248
2010-07-16,2010,7,16,3,0,0,-0.291,12,0.136,0.046,-0.04,0.075,52781500.0,12148445.302,1.342,0.03,-1.151,0.655,0.496,-0.443,0.582,0.573,-1.155,-0.136,-1.108,0.273,0.835,-1.036,1.153,-0.521,-0.632,-4.426
2010-07-19,2010,7,19,3,0,0,2.465,13,0.113,0.047,-0.01,0.023,44238000.0,10319836.808,1.388,0.068,-0.519,-0.634,1.153,0.996,-1.155,0.592,0.563,-5.113,-0.673,-0.477,1.149,1.811,1.074,-0.17,-0.904,-0.953
2010-07-20,2010,7,20,3,0,0,-7.636,14,0.097,0.02,0.024,0.072,34665500.0,6390341.775,1.397,0.057,1.144,-0.437,-0.707,3.5,1.109,-0.833,-0.276,-0.285,-1.14,0.412,0.728,3.354,-0.766,1.131,-0.365,-1.249
2010-07-21,2010,7,21,3,0,0,-2.176,15,0.101,0.017,0.032,0.07,27821500.0,9262912.501,1.387,0.064,-0.434,1.144,-0.71,-1.025,-0.041,1.02,-0.979,-0.405,-0.975,-0.048,1.023,1.241,-0.619,-0.535,1.154,-0.178
2010-07-22,2010,7,22,3,0,0,2.381,16,0.091,0.031,0.033,0.068,20178000.0,6616751.979,1.367,0.029,-1.041,0.087,0.954,-0.065,-0.971,-0.055,1.026,-1.01,-0.878,-0.21,1.088,2.587,1.15,-0.668,-0.482,3.27
2010-07-23,2010,7,23,3,0,0,0.47,17,0.062,0.03,-0.004,0.031,14319500.0,4491938.362,1.389,0.037,-0.944,-0.103,1.048,1.933,-0.099,-0.947,1.046,3.399,-1.005,0.011,0.995,2.907,0.819,0.295,-1.114,-0.97
2010-07-26,2010,7,26,3,0,0,-2.625,18,0.057,0.023,-0.001,0.035,12668000.0,2494626.425,1.405,0.012,0.97,-1.027,0.057,1.541,1.069,-0.157,-0.912,0.862,0.467,-1.148,0.681,2.453,-0.708,1.144,-0.436,-4.685
2010-07-27,2010,7,27,3,0,0,-1.752,19,0.058,0.023,0.018,0.022,10977500.0,2485971.289,1.395,0.025,0.132,0.927,-1.06,0.019,0.269,0.838,-1.107,-2.304,-0.677,1.149,-0.472,1.363,-1.026,0.054,0.972,0.189
2010-07-28,2010,7,28,3,0,0,0.82,20,0.056,0.027,0.016,0.025,10045500.0,3473763.269,1.383,0.013,-1.086,0.203,0.883,-0.818,-1.117,0.304,0.813,-0.929,-0.874,-0.216,1.09,-0.07,-0.1,-0.946,1.046,2.74
2010-07-29,2010,7,29,3,0,0,-2.064,21,0.049,0.02,0.014,0.022,8514500.0,1304962.356,1.369,0.012,0.508,-1.152,0.644,1.593,0.667,-1.15,0.482,1.068,0.556,-1.154,0.598,4.076,-1.026,0.972,0.054,2.214
2010-07-30,2010,7,30,3,0,0,-1.304,22,0.048,0.019,0.011,0.02,7550500.0,1494042.419,1.356,0.026,0.595,0.56,-1.155,0.7,0.295,0.819,-1.114,0.623,-0.768,1.131,-0.363,1.168,-1.017,0.034,0.982,0.547
2010-08-02,2010,8,2,3,0,0,2.008,23,0.054,0.009,0.006,0.03,8805000.0,2216252.411,1.36,0.033,-1.154,0.612,0.542,-2.92,-1.136,0.389,0.747,-0.575,0.887,-1.084,0.196,-0.811,1.05,-0.941,-0.108,0.643
2010-08-03,2010,8,3,3,0,0,4.328,24,0.059,0.016,-0.025,0.04,11877500.0,6102635.169,1.396,0.067,0.993,-1.007,0.014,-0.027,-0.956,-0.082,1.039,1.302,1.078,-0.181,-0.897,-0.432,1.008,-0.017,-0.992,-0.584
2010-08-04,2010,8,4,3,0,0,-3.246,25,0.069,0.024,-0.015,0.056,14308000.0,3879494.265,1.425,0.035,0.836,0.272,-1.108,-0.404,1.095,-0.864,-0.231,0.582,-0.158,1.07,-0.912,-2.038,-0.222,1.092,-0.87,-2.737
